file_name,label
0_100.png,0
0_174.png,0
0_183.png,0
0_20.png,0
0_234.png,0
0_241.png,0
0_249.png,0
0_250.png,0
0_262.png,0
0_270.png,0
0_301.png,0
0_305.png,0
0_315.png,0
0_342.png,0
0_356.png,0
0_357.png,0
0_37.png,0
0_45.png,0
0_47.png,0
0_53.png,0
0_67.png,0
0_73.png,0
0_76.png,0
0_81.png,0
0_83.png,0
0_91.png,0
0_92.png,0
1_147.png,1
1_200.png,1
1_260.png,1
1_261.png,1
1_268.png,1
1_30.png,1
1_339.png,1
1_5.png,1
1_60.png,1
1_84.png,1
1_89.png,1
1_90.png,1
1_99.png,1
2_115.png,2
2_157.png,2
2_19.png,2
2_201.png,2
2_210.png,2
2_216.png,2
2_274.png,2
2_281.png,2
2_322.png,2
2_4.png,2
2_58.png,2
2_6.png,2
2_97.png,2
3_128.png,3
3_137.png,3
3_145.png,3
3_155.png,3
3_164.png,3
3_280.png,3
3_289.png,3
3_290.png,3
3_291.png,3
3_298.png,3
3_307.png,3
3_316.png,3
3_338.png,3
3_340.png,3
3_347.png,3
3_51.png,3
3_98.png,3
4_106.png,4
4_123.png,4
4_173.png,4
4_18.png,4
4_181.png,4
4_189.png,4
4_198.png,4
4_207.png,4
4_225.png,4
4_226.png,4
4_306.png,4
4_332.png,4
4_346.png,4
4_46.png,4
5_117.png,5
5_118.png,5
5_129.png,5
5_130.png,5
5_138.png,5
5_140.png,5
5_182.png,5
5_190.png,5
5_192.png,5
5_215.png,5
5_224.png,5
5_227.png,5
5_232.png,5
5_233.png,5
5_238.png,5
5_247.png,5
5_256.png,5
5_269.png,5
5_297.png,5
5_299.png,5
5_38.png,5
5_69.png,5
6_199.png,6
6_217.png,6
6_218.png,6
6_239.png,6
6_240.png,6
6_255.png,6
6_275.png,6
6_355.png,6
6_59.png,6
7_107.png,7
7_116.png,7
7_146.png,7
7_259.png,7
7_267.png,7
7_282.png,7
7_288.png,7
7_296.png,7
7_314.png,7
7_321.png,7
7_68.png,7
7_74.png,7
8_139.png,8
8_158.png,8
8_166.png,8
8_167.png,8
8_176.png,8
8_191.png,8
8_208.png,8
8_25.png,8
8_304.png,8
8_313.png,8
8_320.png,8
8_323.png,8
8_329.png,8
8_348.png,8
8_363.png,8
8_52.png,8
8_75.png,8
8_82.png,8
9_10.png,9
9_11.png,9
9_12.png,9
9_131.png,9
9_156.png,9
9_165.png,9
9_175.png,9
9_184.png,9
9_209.png,9
9_248.png,9
9_26.png,9
9_276.png,9
9_330.png,9
9_331.png,9
9_337.png,9
9_345.png,9
9_353.png,9
9_354.png,9
9_36.png,9
9_362.png,9
9_364.png,9
9_365.png,9
9_44.png,9
A_112.png,A
A_203.png,A
A_376.png,A
A_40.png,A
A_85.png,A
B_186.png,B
B_193.png,B
B_28.png,B
B_55.png,B
C_160.png,C
C_369.png,C
C_372.png,C
C_7.png,C
D_169.png,D
D_194.png,D
D_57.png,D
D_64.png,D
D_86.png,D
E_229.png,E
E_27.png,E
E_309.png,E
E_366.png,E
E_54.png,E
F_119.png,F
F_132.png,F
F_141.png,F
F_220.png,F
F_277.png,F
F_283.png,F
F_308.png,F
F_349.png,F
F_61.png,F
G_114.png,G
G_122.png,G
G_127.png,G
G_136.png,G
G_144.png,G
G_154.png,G
G_163.png,G
G_172.png,G
G_180.png,G
G_188.png,G
G_197.png,G
